Brand Name,Average Discount
Adel Pekana Germany,2.511627907
Adven Biotech Pvt Ltd,4.761904762
Allen Healthcare,0
Allen Homoeo & Herbal Products Ltd,0.130434783
Ankur Pharmaceutical,0
Bahola Labs,0
Bakson Drugs & Pharmaceuticals Pvt. ltd.,7.173333333
Bhargava Phytolab,0
Bio-India Pharma Pvt Ltd,44.66666667
Bjain Pharmaceuticals Pvt. Ltd.,17.70462725
Boericke Homoeo Pharmacy,23.5
Boericke Research Laboratory,0
Dr Reckeweg & Co,2.111111111
Dr Willmar Schwabe Germany,0
Dr Willmar Schwabe India Pvt Ltd,6.001855288
Dr. Majumder Homeo World,66.61904762
Dr. Romas Homeopathy,0
Father Muller Charitable Institutions,2.5
Fourrts India Laboratories Pvt Ltd,0
German Homoeo Care and Cure Pvt. Ltd.,19
Guru Tegh Bahadur Pharma,0
Gurudev Veterinaries,5
Hahnemann Publishing Co. Pvt. Ltd.,4
HAPDCO,5.5
Hapro Homeo Chem Pvt Ltd,0
HASLAB,0
Healing Herbs UK,225
Healwell International Limited,0
Hering Pharma,0
Homeotrade,17.27777778
Kent Pharmaceuticals,0
LDD Bioscience Pvt Ltd,4.392727273
Lord's Homoeopathic Laboratory Pvt Ltd,5.414705882
M Bhattacharyya & Co Pvt Ltd,0
Medilexicon,5
Medisynth Chemicals Pvt Ltd,3
Nanak Laboratories Pvt Ltd,0
Neon Homoeopathy,15
New Life Laboratories Pvt Ltd,20
Organon Homoeo Laboratory Pvt Ltd.,0
Radient Pharma,4
Ralson Remedies Pvt Ltd,0
Renovision Exports Pvt Ltd,1.4
Rxhomeo Private Limited,40.5
SBL Pvt Ltd,0.271375465
Sett Dey & Co (Homeo) Lab,20.1625
Similia Homoeo Laboratory,10.1
St. George’s Homoeopathy,0
Wheezal Homoeo Pharma,9.710344828
